#  r/R             c            rho               A1          A2            A3         A4            A5
  1.000951E+00  7.115244E+05  6.993408E-10  9.971514E-01  3.763050E+03  1.644828E+00  2.456683E+03  1.493802E-09
  1.000950E+00  7.115348E+05  7.070970E-10  9.971567E-01  3.762947E+03  1.644973E+00  2.456822E+03  1.510362E-09
  1.000948E+00  7.115452E+05  7.149264E-10  9.971620E-01  3.762844E+03  1.645117E+00  2.456961E+03  1.527077E-09
  1.000946E+00  7.115555E+05  7.228298E-10  9.971672E-01  3.762741E+03  1.645260E+00  2.457100E+03  1.543951E-09
  1.000944E+00  7.115659E+05  7.308077E-10  9.971725E-01  3.762638E+03  1.645401E+00  2.457240E+03  1.560983E-09
  1.000943E+00  7.115762E+05  7.388609E-10  9.971778E-01  3.762535E+03  1.645541E+00  2.457381E+03  1.578176E-09
  1.000941E+00  7.115866E+05  7.469901E-10  9.971830E-01  3.762433E+03  1.645681E+00  2.457523E+03  1.595531E-09
  1.000939E+00  7.115969E+05  7.551960E-10  9.971883E-01  3.762330E+03  1.645819E+00  2.457665E+03  1.613050E-09
  1.000937E+00  7.116069E+05  7.634792E-10  9.971935E-01  3.762231E+03  1.645954E+00  2.457805E+03  1.630734E-09
  1.000935E+00  7.116166E+05  7.718404E-10  9.971988E-01  3.762135E+03  1.646087E+00  2.457942E+03  1.648584E-09
  1.000934E+00  7.116260E+05  7.802805E-10  9.972040E-01  3.762042E+03  1.646218E+00  2.458076E+03  1.666603E-09
  1.000932E+00  7.116352E+05  7.888001E-10  9.972092E-01  3.761952E+03  1.646346E+00  2.458208E+03  1.684791E-09
  1.000930E+00  7.116440E+05  7.973998E-10  9.972144E-01  3.761864E+03  1.646472E+00  2.458337E+03  1.703150E-09
  1.000929E+00  7.116527E+05  8.060806E-10  9.972196E-01  3.761779E+03  1.646596E+00  2.458464E+03  1.721682E-09
  1.000927E+00  7.116611E+05  8.148431E-10  9.972248E-01  3.761697E+03  1.646718E+00  2.458588E+03  1.740389E-09
  1.000925E+00  7.116693E+05  8.236880E-10  9.972300E-01  3.761617E+03  1.646838E+00  2.458711E+03  1.759271E-09
  1.000923E+00  7.116773E+05  8.326161E-10  9.972352E-01  3.761539E+03  1.646956E+00  2.458831E+03  1.778331E-09
  1.000922E+00  7.116851E+05  8.416282E-10  9.972404E-01  3.761463E+03  1.647072E+00  2.458950E+03  1.797570E-09
  1.000920E+00  7.116927E+05  8.507250E-10  9.972455E-01  3.761389E+03  1.647187E+00  2.459066E+03  1.816990E-09
  1.000918E+00  7.117002E+05  8.599073E-10  9.972507E-01  3.761316E+03  1.647299E+00  2.459182E+03  1.836592E-09
  1.000916E+00  7.117076E+05  8.691759E-10  9.972558E-01  3.761245E+03  1.647411E+00  2.459295E+03  1.856378E-09
  1.000915E+00  7.117148E+05  8.785316E-10  9.972610E-01  3.761174E+03  1.647520E+00  2.459408E+03  1.876350E-09
  1.000913E+00  7.117220E+05  8.879751E-10  9.972661E-01  3.761105E+03  1.647629E+00  2.459520E+03  1.896510E-09
  1.000911E+00  7.117292E+05  8.975074E-10  9.972713E-01  3.761036E+03  1.647737E+00  2.459631E+03  1.916859E-09
  1.000910E+00  7.117363E+05  9.071291E-10  9.972764E-01  3.760967E+03  1.647843E+00  2.459741E+03  1.937398E-09
  1.000908E+00  7.117435E+05  9.168411E-10  9.972815E-01  3.760898E+03  1.647949E+00  2.459852E+03  1.958131E-09
  1.000906E+00  7.117507E+05  9.266442E-10  9.972866E-01  3.760828E+03  1.648054E+00  2.459962E+03  1.979057E-09
  1.000904E+00  7.117579E+05  9.365393E-10  9.972917E-01  3.760757E+03  1.648159E+00  2.460073E+03  2.000180E-09
  1.000903E+00  7.117654E+05  9.465272E-10  9.972968E-01  3.760686E+03  1.648263E+00  2.460184E+03  2.021501E-09
  1.000901E+00  7.117729E+05  9.566087E-10  9.973019E-01  3.760612E+03  1.648368E+00  2.460296E+03  2.043022E-09
  1.000899E+00  7.117807E+05  9.667847E-10  9.973070E-01  3.760536E+03  1.648472E+00  2.460410E+03  2.064744E-09
  1.000898E+00  7.117887E+05  9.770561E-10  9.973121E-01  3.760458E+03  1.648577E+00  2.460526E+03  2.086670E-09
  1.000896E+00  7.117970E+05  9.874237E-10  9.973171E-01  3.760376E+03  1.648682E+00  2.460644E+03  2.108801E-09
  1.000894E+00  7.118057E+05  9.978884E-10  9.973222E-01  3.760291E+03  1.648788E+00  2.460764E+03  2.131139E-09
  1.000893E+00  7.118146E+05  1.008451E-09  9.973273E-01  3.760203E+03  1.648895E+00  2.460886E+03  2.153687E-09
  1.000891E+00  7.118237E+05  1.019113E-09  9.973323E-01  3.760114E+03  1.649001E+00  2.461008E+03  2.176445E-09
  1.000889E+00  7.118328E+05  1.029874E-09  9.973374E-01  3.760024E+03  1.649107E+00  2.461129E+03  2.199416E-09
  1.000887E+00  7.118420E+05  1.040736E-09  9.973424E-01  3.759933E+03  1.649212E+00  2.461249E+03  2.222602E-09
  1.000886E+00  7.118513E+05  1.051700E-09  9.973474E-01  3.759841E+03  1.649317E+00  2.461369E+03  2.246005E-09
  1.000884E+00  7.118606E+05  1.062766E-09  9.973525E-01  3.759749E+03  1.649422E+00  2.461489E+03  2.269626E-09
  1.000882E+00  7.118700E+05  1.073936E-09  9.973575E-01  3.759656E+03  1.649526E+00  2.461607E+03  2.293468E-09
  1.000881E+00  7.118795E+05  1.085210E-09  9.973625E-01  3.759563E+03  1.649630E+00  2.461725E+03  2.317533E-09
  1.000879E+00  7.118890E+05  1.096589E-09  9.973675E-01  3.759469E+03  1.649733E+00  2.461843E+03  2.341823E-09
  1.000877E+00  7.118985E+05  1.108075E-09  9.973725E-01  3.759374E+03  1.649836E+00  2.461960E+03  2.366340E-09
  1.000876E+00  7.119080E+05  1.119668E-09  9.973775E-01  3.759280E+03  1.649938E+00  2.462076E+03  2.391085E-09
  1.000874E+00  7.119176E+05  1.131370E-09  9.973825E-01  3.759185E+03  1.650039E+00  2.462191E+03  2.416062E-09
  1.000872E+00  7.119272E+05  1.143180E-09  9.973875E-01  3.759090E+03  1.650140E+00  2.462306E+03  2.441272E-09
  1.000871E+00  7.119367E+05  1.155101E-09  9.973925E-01  3.758996E+03  1.650240E+00  2.462420E+03  2.466717E-09
  1.000869E+00  7.119463E+05  1.167133E-09  9.973975E-01  3.758901E+03  1.650339E+00  2.462533E+03  2.492399E-09
  1.000867E+00  7.119558E+05  1.179278E-09  9.974024E-01  3.758807E+03  1.650438E+00  2.462646E+03  2.518321E-09
  1.000866E+00  7.119653E+05  1.191536E-09  9.974074E-01  3.758713E+03  1.650536E+00  2.462758E+03  2.544484E-09
  1.000864E+00  7.119747E+05  1.203908E-09  9.974124E-01  3.758619E+03  1.650633E+00  2.462869E+03  2.570892E-09
  1.000862E+00  7.119841E+05  1.216395E-09  9.974173E-01  3.758526E+03  1.650729E+00  2.462980E+03  2.597546E-09
  1.000861E+00  7.119934E+05  1.228999E-09  9.974223E-01  3.758434E+03  1.650824E+00  2.463090E+03  2.624448E-09
  1.000859E+00  7.120027E+05  1.241721E-09  9.974272E-01  3.758343E+03  1.650918E+00  2.463199E+03  2.651600E-09
